case,controller,seed,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,resilience_score,soc_band_residency,throughput_kwh,efc,lfp_cycle_loss_pct,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms
High_Disruption,GR,0.5,9.317549684518905,0.0,0.0,0.0,100.0,1.0,4.321279401968584,0.021606397009842924,0.00048204025723618465,0.0,0.0,0.013459000863756104,0.0,0.03030297342912256,0.0016776659297697725,9.5,1.6354166666666667,39.25,0.01052500858299431,0.1473749944125302
High_Disruption,Proposed,0.5,9.323152269934997,0.0,0.0,0.0,100.0,1.0,4.7310621869888685,0.023655310934944343,0.0004953038001694334,0.0,0.0,0.013805057767066045,0.0,0.031096080442027156,0.0016466315858003778,10.0625,1.7083333333333333,41.0,0.13746630220339284,1.2415874953148887
Ideal,GR,0.5,9.317549684518905,0.0,0.0,0.0,100.0,1.0,4.321279401968584,0.021606397009842924,0.00048204025723618465,0.0,0.0,0.013459000863756104,0.0,0.03030297342912256,0.0016776659297697725,9.5,1.6354166666666667,39.25,0.009965260185001372,0.10087500049849041
Ideal,Proposed,0.5,9.323152269934997,0.0,0.0,0.0,100.0,1.0,4.7310621869888685,0.023655310934944343,0.0004953038001694334,0.0,0.0,0.013805057767066045,0.0,0.031096080442027156,0.0016466315858003778,10.0625,1.7083333333333333,41.0,0.1351291404742167,0.544924994756002
Low_Disruption,GR,0.5,9.317549684518905,0.0,0.0,0.0,100.0,1.0,4.321279401968584,0.021606397009842924,0.00048204025723618465,0.0,0.0,0.013459000863756104,0.0,0.03030297342912256,0.0016776659297697725,9.5,1.6354166666666667,39.25,0.01041823777035865,0.13583750114776194
Low_Disruption,Proposed,0.5,9.323152269934997,0.0,0.0,0.0,100.0,1.0,4.7310621869888685,0.023655310934944343,0.0004953038001694334,0.0,0.0,0.013805057767066045,0.0,0.031096080442027156,0.0016466315858003778,10.0625,1.7083333333333333,41.0,0.13981497402508264,1.1088750034105033
