controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
Proposed,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.01707339425699625,8.536697128498125e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.13190861104198526,0.4538000066531822,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
NC,mixed,0,mixed_seed0,0,9.526821355558479,0.2777777777777778,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001842778349075363,0.013900003978051245,{},,
GR,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.010807499832784137,0.10220000694971532,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,0,mixed_seed0,0,2.9682847135325834,0.0,0.0,0.0,1.0,18.793187335809808,0.09396593667904904,0.0,0.0,0.08276618042621521,0.0,0.07460848543189313,0.0002834100512552007,68.0,22.666666666666668,544.0,0.024362778680774175,0.11990001075901091,"{'[0.0,0.1)': 68.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,0,mixed_seed0,0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.01576805532547749,0.10990000737365335,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
MPC_best_ramp,mixed,0,mixed_seed0,0,9.51906594523909,0.2777777777777778,0.0,0.2777777777777778,1.0,0.02000119517663406,0.00010000597588317031,0.0,0.0,9.791595832047239e-05,0.0,9.884262976059266e-05,1.9492507612975075e-08,5.5,1.8333333333333333,44.0,573.6918036112911,1570.6074999907287,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,0,mixed_seed0,0,9.51906594523909,0.2777777777777778,0.0,0.2777777777777778,1.0,0.02000119517663406,0.00010000597588317031,0.0,0.0,9.791595832047239e-05,0.0,9.884262976059266e-05,1.9492507612975075e-08,5.5,1.8333333333333333,44.0,573.6918036112911,1570.6074999907287,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
