Variant,Ramp95,Throughput,T_high_SOC,IDOD,MicroCycles,FlipDay
A0,9.46 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A1,9.46 (0.00),0.02 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A2,9.46 (0.00),0.02 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A3,9.46 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A4,9.46 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A5,9.46 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
A6,9.46 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.50 (0.00),8.00 (0.00)
