controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,weight_label
Proposed,mixed,0.0,mixed_seed0,0.0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.40362860826361513,14.379899948835373,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",
NC,mixed,0.0,mixed_seed0,0.0,9.526821355558479,0.2777777777777778,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038719438533816072,0.09119999594986439,{},
GR,mixed,0.0,mixed_seed0,0.0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.03891000103774584,7.140600006096065,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",
RS,mixed,0.0,mixed_seed0,0.0,2.9682847135325834,0.0,0.0,0.0,1.0,18.793187335809808,0.09396593667904904,0.0,0.0,0.08276618042621521,0.0,0.07460848543189313,0.0002834100512552007,68.0,22.666666666666668,544.0,0.05770110777424028,4.103400046005845,"{'[0.0,0.1)': 68.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",
FBRL,mixed,0.0,mixed_seed0,0.0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.05659000178436852,9.12669999524951,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",
MPC_best_ramp,mixed,0.0,mixed_seed0,0.0,9.518615623734876,0.2777777777777778,0.0,0.2777777777777778,1.0,0.024242712268097814,0.00012121356134048907,0.0,0.0,0.00014827800926723081,0.0,0.00012051446568733803,2.880659464344618e-08,29.5,10.333333333333334,248.0,376.33233111442274,2303.651100024581,"{'[0.0,0.1)': 29.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",0.01|0.01|0.001
MPC_best_balanced,mixed,0.0,mixed_seed0,0.0,9.518615623734876,0.2777777777777778,0.0,0.2777777777777778,1.0,0.024242712268097814,0.00012121356134048907,0.0,0.0,0.00014827800926723081,0.0,0.00012051446568733803,2.880659464344618e-08,29.5,10.333333333333334,248.0,376.33233111442274,2303.651100024581,"{'[0.0,0.1)': 29.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",0.01|0.01|0.001
Oracle_Pareto,,,,,9.534817766048517,,,,,0.034909817336181224,0.00017454908668090613,0.0,,1.395573940714575e-06,0.0,,6.750730140284628e-08,,,,,,,0.01|0.01|0.001
