controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist
A0,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.2951988908332876,14.181900070980191,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A1,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.24084944743663073,14.941900037229061,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A2,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.3471966693824571,11.931599932722747,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A3,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.30802944287036854,10.180999990552664,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A4,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,1.0477144419888242,117.40660003852099,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A5,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.21046305612091804,13.704899931326509,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A6,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.5806261059155481,34.90660001989454,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
