controller,reference_type,weight_label,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,0,cloud_edge_seed0,0,9.037843124250472,1.1111111111111112,0.0,1.1111111111111112,1.0,2.044213166578558,0.01022106583289279,0.0,0.0,0.009302613425618791,0.0,0.010757493219412828,0.00023023890206333932,5.5,1.0,24.0,1090.1017461109504,2021.2064000079408,"{'[0.0,0.1)': 6.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,cloud_edge,1,cloud_edge_seed1,0,8.589443560424927,0.1388888888888889,0.0,0.1388888888888889,1.0,0.0785579098851708,0.00039278954942585404,0.0,0.0,3.502017883991831e-10,0.0,0.0004134626805413488,3.4190277640087493e-07,0.5,0.08333333333333333,2.0,63.15048805279528,1696.4467000216246,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,0,load_step_seed0,0,8.700733695554417,1.9444444444444444,0.0,1.9444444444444444,1.0,2.7201295124818055,0.013600647562409028,0.0,0.0,0.012786066025742766,0.0,0.014315965171132344,0.0004093630596348695,6.5,1.1666666666666667,28.0,922.6829308326058,2140.872700023465,"{'[0.0,0.1)': 7.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.570421109474005,103.77200006041676,{}
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,0,mixed_seed0,0,8.903059632696023,1.3888888888888888,0.0,1.3888888888888888,1.0,1.7245431985272104,0.008622715992636053,0.0,0.0,0.006717001355319489,0.0,0.00907638556446122,0.00016465787651876593,4.0,0.6666666666666666,16.0,1178.0856552761786,5133.300399989821,"{'[0.0,0.1)': 4.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.361400693085873,95.83590005058795,{}
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,0,wind_gust_seed0,0,9.51498339465337,1.25,0.0,1.25,1.0,2.116784647064179,0.010583923235320895,0.0,0.0,0.00747141038318467,0.0,0.011133909297083106,0.0002471515860591014,6.5,1.1666666666666667,28.0,1121.900974860182,1688.4443999733776,"{'[0.0,0.1)': 7.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
OraclePreview_0.01_0.01_0.001,OraclePreview,0.01|0.01|0.001,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.492275693673744,116.33220000658184,{}
