controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
GR,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019394583392163947,1.0445999214425683,{},,
GR,wind_gust,0,wind_gust_seed0,0,9.428331974226532,0.0,0.0,0.0,1.0,1.4430267815225435,0.007215133907612717,0.0,0.0,0.0,0.0,0.011409866393139623,0.00012194709944625303,5.5,1.8333333333333333,44.0,0.017877774209611945,2.6042000390589237,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020811250983064786,3.6060999846085906,{},,
RS,cloud_edge,0,cloud_edge_seed0,0,3.237324244413626,2.361111111111111,0.0,2.361111111111111,1.0,37.05307776888308,0.1852653888444154,0.0,0.0,0.08439010468442315,0.0,0.18143474439328572,0.0010323559466216359,144.5,24.166666666666668,580.0,0.3035008334942783,102.54039999563247,"{'[0.0,0.1)': 145.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,cloud_edge,1,cloud_edge_seed1,0,2.67659514577357,0.0,0.0,0.0,1.0,34.2130925785332,0.171065462892666,0.0,0.0,0.06836388700647998,0.0,0.16123585774463017,0.0006581481000845162,137.5,22.916666666666668,550.0,0.04582986487851789,0.8861999958753586,"{'[0.0,0.1)': 137.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,load_step,0,load_step_seed0,0,2.803759526843385,3.4722222222222223,0.0,3.4722222222222223,1.0,35.97725734821476,0.17988628674107382,0.0,0.0,0.07576484399315817,0.0,0.1724387320666832,0.000943618823459435,137.0,22.916666666666668,550.0,0.06197736171695093,9.914400056004524,"{'[0.0,0.1)': 137.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,load_step,1,load_step_seed1,0,2.5486980454089645,0.0,0.0,0.0,1.0,35.11844658026979,0.17559223290134895,0.0,0.0,0.07261804404970286,0.0,0.16940223951873618,0.0006727401917648503,145.0,24.166666666666668,580.0,0.053737360576633364,4.017799976281822,"{'[0.0,0.1)': 145.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,0,mixed_seed0,0,2.891156485061033,2.2222222222222223,0.0,2.2222222222222223,1.0,37.03139926281983,0.18515699631409915,0.0,0.0,0.07632085591611763,0.0,0.17769441032774438,0.0009702799900765525,137.5,22.916666666666668,550.0,0.06342361286644721,6.916499929502606,"{'[0.0,0.1)': 137.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,1,mixed_seed1,0,2.6917464777520808,0.0,0.0,0.0,1.0,35.33862177972829,0.17669310889864145,0.0,0.0,0.07293023994362981,0.0,0.17261008959963414,0.000697310506529087,147.0,24.5,588.0,0.07366402795822877,5.654099979437888,"{'[0.0,0.1)': 147.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,wind_gust,0,wind_gust_seed0,0,3.337079701373991,2.638888888888889,0.0,2.638888888888889,1.0,41.11872439686855,0.20559362198434275,0.0,0.0,0.08865579952062355,0.0,0.20033217965583083,0.0013060635156215404,122.5,20.5,492.0,0.058682636881712824,11.428100056946278,"{'[0.0,0.1)': 123.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,wind_gust,1,wind_gust_seed1,0,2.7162535510040966,0.0,0.0,0.0,1.0,36.34592125774448,0.1817296062887224,0.0,0.0,0.07404023682239977,0.0,0.1779291805002885,0.0007761844557901314,140.0,23.333333333333332,560.0,0.060221388573861785,3.668299992568791,"{'[0.0,0.1)': 140.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,0,cloud_edge_seed0,0,2.464259666828294,0.0,0.0,0.0,1.0,35.55627469736727,0.17778137348683637,0.0,0.0,0.07424953666145491,0.0,0.17420555042754127,0.0014093603033903297,134.5,22.666666666666668,544.0,0.0928972184839141,27.70590002182871,"{'[0.0,0.1)': 135.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,1,cloud_edge_seed1,0,2.1353156818119237,0.0,0.0,0.0,1.0,32.479834908804456,0.16239917454402228,0.0,0.0,0.06405947045435781,0.0,0.14212885822876925,0.0006170627924054362,127.5,21.25,510.0,0.03613430259671683,5.8781999396160245,"{'[0.0,0.1)': 127.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,load_step,0,load_step_seed0,0,2.335086161096128,0.0,0.0,0.0,1.0,34.12245338696393,0.17061226693481968,0.0,0.0,0.0710826500310596,0.0,0.16509683868964414,0.001182743070681616,131.5,22.083333333333332,530.0,0.028672641039722495,0.7990999147295952,"{'[0.0,0.1)': 132.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,load_step,1,load_step_seed1,0,2.2566919163370747,0.0,0.0,0.0,1.0,33.351167353433326,0.16675583676716663,0.0,0.0,0.06770075749011227,0.0,0.15251369665190057,0.0006812849864455397,137.0,22.833333333333332,548.0,0.026918890782528453,0.2679000608623028,"{'[0.0,0.1)': 137.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,0,mixed_seed0,0,2.4057441878791628,0.0,0.0,0.0,1.0,34.71144550052881,0.17355722750264405,0.0,0.0,0.07217232563637495,0.0,0.16803390157582504,0.0011939899476494013,129.5,21.75,522.0,0.03845541262611126,3.811699920333922,"{'[0.0,0.1)': 130.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,1,mixed_seed1,0,2.3269243259160874,0.0,0.0,0.0,1.0,33.60645760644374,0.1680322880322187,0.0,0.0,0.06980772977748262,0.0,0.15276236656892705,0.0006867627670984566,134.0,22.333333333333332,536.0,0.0367630541505706,3.7539000622928143,"{'[0.0,0.1)': 134.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,wind_gust,0,wind_gust_seed0,0,2.8765952338866008,0.0,0.0,0.0,1.0,38.59519236466108,0.1929759618233054,0.0,0.0,0.08629785701659816,0.0,0.18757617029166523,0.0015799669961758507,117.5,19.75,474.0,0.023733889328367595,0.8989999769255519,"{'[0.0,0.1)': 118.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,wind_gust,1,wind_gust_seed1,0,2.3767708977691613,0.0,0.0,0.0,1.0,34.46376260884926,0.1723188130442463,0.0,0.0,0.07130312693307483,0.0,0.13930133026748046,0.000589357624480551,136.0,22.666666666666668,544.0,0.03350263610223515,1.88770005479455,"{'[0.0,0.1)': 136.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
MPC_best_ramp,cloud_edge,0,cloud_edge_seed0,0,9.038202277924308,2.083333333333333,0.0,2.083333333333333,1.0,1.5500317458057384,0.0077501587290286925,0.0,0.0,0.004923876009925985,0.0,0.008157401493811917,0.00013270214638324735,27.0,4.5,108.0,1703.4691230532999,3933.847700012848,"{'[0.0,0.1)': 27.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
