candidate,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw,mean_train_score_vs_gr,mean_hold_score_vs_gr,std_hold_score_vs_gr,max_hold_score_vs_gr,mean_hold_rank,best_hold_rank_count,mean_hold_ramp_delta_vs_gr,mean_hold_cap_delta_vs_gr,mean_hold_throughput_delta_vs_gr,mean_hold_idod_delta_vs_gr,mean_hold_flip_delta_vs_gr
Candidate_01,0.32,3.0,0.01,0.25,0.05763307947361535,0.05763307947361535,0.11086257366537106,0.18927889552794797,1.0,6,0.00040328640620135303,0.0,0.20534260809305768,-1.2152193485412598e-05,0.13611111111111077
Candidate_02,0.32,4.0,0.01,0.25,0.059472590968186974,0.05947259096818699,0.11272947124016282,0.19322070587345888,1.6666666666666667,2,0.0024106786155367508,0.0,0.21648362554187858,-1.2638438956110375e-05,0.0777777777777775
Candidate_03,0.32,5.0,0.01,0.25,0.062179735633370654,0.062179735633370654,0.11559752770685996,0.19902173015599528,2.3333333333333335,2,0.0024106786155367508,0.0,0.22757536258585165,-1.3515633566904927e-05,0.0777777777777775
Candidate_05,0.32,4.0,0.01,0.5,0.07896424478708215,0.07896424478708215,0.10425459152966732,0.204937475459011,6.666666666666667,0,0.007366051325802185,0.0,0.2153625693898875,-1.138079996403994e-05,0.3722222222222218
Candidate_04,0.32,4.0,0.02,0.25,0.08882986154955247,0.08882986154955247,0.12941273203172357,0.24950963920131608,6.0,0,0.0028943851574689816,0.0,0.27849066645290455,1.009672297735712e-05,0.3111111111111115
Candidate_07,0.34,4.0,0.01,0.25,0.17055765201541154,0.1705576520154115,0.20964211927861068,0.43126012240322464,4.333333333333333,2,0.0081311649089999,0.0,0.3175859393440901,-3.367404380221942e-05,1.7111111111111112
Candidate_06,0.34,3.0,0.01,0.25,0.20096724047817618,0.20096724047817616,0.23816390496363565,0.4964235262520056,5.0,2,0.007239804711931974,0.0,0.302407435310919,-3.239971489388168e-05,2.4111111111111114
Candidate_08,0.34,4.0,0.02,0.25,0.22408679185662359,0.2240867918566236,0.253956135826395,0.5393459184307554,8.166666666666666,0,0.007918455243074144,0.0,0.39670632986078674,-8.628463207148535e-06,2.352777777777778
Candidate_09,0.34,4.0,0.02,0.5,0.22969543120957472,0.22969543120957478,0.25913904780207786,0.5516468329624725,7.833333333333333,0,0.00807067259404833,0.0,0.3948364859659959,-7.421134642596854e-06,2.4694444444444437
Candidate_10,0.36,4.0,0.02,0.5,0.39280077571184613,0.39280077571184613,0.414781279996443,0.90115828546734,8.666666666666666,0,0.01848869686626416,0.008101851851851851,0.5920061744649626,-1.1538542621128569e-05,4.219444444444444
Candidate_11,0.36,5.0,0.04,0.5,0.4554176787066355,0.4554176787066355,0.46147532917795925,1.0220949436924864,10.666666666666666,0,0.026616780537252655,0.012152777777777778,0.7719335405220774,0.00016275202570336508,3.9861111111111107
Candidate_12,0.38,5.0,0.04,0.5,0.5235230488034165,0.5235230488034165,0.5271158096634054,1.1680350224713016,11.333333333333334,0,0.026879678033553844,0.008101851851851851,0.9953912250177321,8.048407008227089e-05,4.511111111111111
