parameter,value,ramp95_kw_per_min,cap_violation_pct_total,throughput_kwh,lfp_cycle_loss_pct,idod,flip_per_day,ramp95_kw_per_min_delta_vs_default,cap_violation_pct_total_delta_vs_default,throughput_kwh_delta_vs_default,lfp_cycle_loss_pct_delta_vs_default,idod_delta_vs_default,flip_per_day_delta_vs_default
horizon_k,10,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
horizon_k,15,9.273395755973937,0.0,2.385520011176581,0.000246068868038056,0.000885564960192505,28.75,0.010560874609883086,0.0,0.16929276881065825,1.7489109879384273e-05,0.00020693030004849356,2.5500000000000007
horizon_k,5,9.25994035601279,0.0,2.1314066623220578,0.00022513027590546547,0.0006700080497279849,24.85,-0.002894525351264221,0.0,-0.08482058004386506,-3.449482253206241e-06,-8.626610416026504e-06,-1.3499999999999979
r_max_kw_per_tick,15,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
r_max_kw_per_tick,20,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
r_max_kw_per_tick,25,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
t_min_ticks,1,9.262217264703295,0.0,2.128726564499339,0.00022850167832308993,0.0007074457827943746,27.9,-0.0006176166607581024,0.0,-0.08750067786658366,-7.807983558178453e-08,2.881112265036318e-05,1.6999999999999993
t_min_ticks,3,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
t_min_ticks,5,9.265221771316577,0.0,2.2660849802445084,0.000231729499460817,0.0006813748777730514,25.7,0.002386889952523674,0.0,0.049857737878585606,3.149741302145272e-06,2.740217629039997e-06,-0.5
w_f,3,9.279073601597064,0.0,2.377372364559089,0.00025181136781523395,0.0006942901471064008,29.65,0.01623872023301054,0.0,0.16114512219316612,2.3231609656562235e-05,1.565548696238941e-05,3.4499999999999993
w_f,5,9.262834881364054,0.0,2.216227242365923,0.00022857975815867172,0.0006786346601440114,26.2,0.0,0.0,0.0,0.0,0.0,0.0
w_f,7,9.260037301548385,0.0034722222222222225,2.141634921822056,0.0002307178086161107,0.0007430187571743701,25.25,-0.002797579815668527,0.0034722222222222225,-0.074592320543867,2.13805045743898e-06,6.43840970303587e-05,-0.9499999999999993
