controller,benchmark_id,benchmark_hours,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist
Candidate_01,medium_12h,12,cloud_edge,0,cloud_edge_seed0,0,8.911901135808762,0.0,0.0,0.0,1.0,1.4039606386284158,0.007019803193142079,0.0,0.0,0.0,0.0,0.0095151446652611,4.81034710849095e-05,5.5,1.8333333333333333,44.0,0.14037069431651616,0.4861999914282933,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_01,medium_12h,12,cloud_edge,1,cloud_edge_seed1,0,8.642897192155019,0.0,0.0,0.0,1.0,0.03998521809660932,0.0001999260904830466,0.0,0.0,0.0,0.0,0.0002104485162979508,8.857715602401773e-08,0.5,0.16666666666666666,4.0,0.14362805547231497,0.5811000009998679,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_01,medium_12h,12,load_step,0,load_step_seed0,0,8.478723369876164,0.0,0.0,0.0,1.0,2.074360262298501,0.010371801311492505,0.0,0.0,0.0011158743071640702,0.0,0.013152785851820198,0.00011659575837500535,6.5,2.1666666666666665,52.0,0.14026277773761345,1.030300001730211,"{'[0.0,0.1)': 6.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_01,medium_12h,12,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13819055560209867,0.53039999329485,{}
Candidate_01,medium_12h,12,mixed,0,mixed_seed0,0,8.73513562287991,0.0,0.0,0.0,1.0,1.236533464973856,0.00618266732486928,0.0,0.0,0.0,0.0,0.0075817470232535655,6.697656867809606e-05,5.0,1.6666666666666667,40.0,0.14096013868159693,0.47140000970102847,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_01,medium_12h,12,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14020249998591477,0.444200006313622,{}
Candidate_01,medium_12h,12,wind_gust,0,wind_gust_seed0,0,9.422130324384922,0.0,0.0,0.0,1.0,1.6870609788961357,0.008435304894480678,0.0,0.0,0.0,0.0,0.012727881285879927,0.00016784384192650083,5.0,1.6666666666666667,40.0,0.14008694484396578,1.0973000025842339,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_01,medium_12h,12,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14081944437849517,0.5089000042062253,{}
Candidate_02,compact_6h,6,cloud_edge,0,cloud_edge_seed0,0,9.456311658167253,0.0,0.0,0.0,1.0,0.017073394256996374,8.536697128498187e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.13615166664951378,0.4127000138396397,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_02,compact_6h,6,cloud_edge,1,cloud_edge_seed1,0,9.747855961967838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14060777761591858,0.5253999988781288,{}
Candidate_02,compact_6h,6,mixed,0,mixed_seed0,0,9.456311658167253,0.0,0.0,0.0,1.0,0.017073394256996374,8.536697128498187e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.1407947221499247,0.527900003362447,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_02,compact_6h,6,mixed,1,mixed_seed1,0,9.747855961967838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13949694455530132,0.44329999946057796,{}
Candidate_02,core_24h,24,cloud_edge,0,cloud_edge_seed0,0,9.085729598260176,0.0,0.0,0.0,1.0,1.0375289888674388,0.005187644944337194,0.0,0.0,0.0,0.0,0.009780389129892403,6.379859141711029e-05,9.0,1.5,36.0,0.1426754166358377,0.6449000065913424,"{'[0.0,0.1)': 9.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
Candidate_02,core_24h,24,cloud_edge,1,cloud_edge_seed1,0,9.564911330885439,0.0,0.0,0.0,1.0,0.35406688883528553,0.0017703344441764276,0.0,0.0,0.0,0.0,0.0027304267219309952,6.2222439067114926e-06,4.0,0.6666666666666666,16.0,0.14633888896342898,0.6013999955030158,"{'[0.0,0.1)': 4.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
