candidate,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw,mean_hold_score_vs_gr,std_hold_score_vs_gr,mean_hold_rank,mean_hold_cap_delta_vs_gr,mean_hold_throughput_delta_vs_gr
Candidate_01,0.32,3.0,0.01,0.25,0.0576330794736153,0.110862573665371,1.0,0.0,0.2053426080930576
Candidate_02,0.32,4.0,0.01,0.25,0.0594725909681869,0.1127294712401628,1.6666666666666667,0.0,0.2164836255418785
Candidate_03,0.32,5.0,0.01,0.25,0.0621797356333706,0.1155975277068599,2.333333333333333,0.0,0.2275753625858516
Candidate_05,0.32,4.0,0.01,0.5,0.0789642447870821,0.1042545915296673,6.666666666666667,0.0,0.2153625693898875
Candidate_04,0.32,4.0,0.02,0.25,0.0888298615495524,0.1294127320317235,6.0,0.0,0.2784906664529045
Candidate_07,0.34,4.0,0.01,0.25,0.1705576520154115,0.2096421192786106,4.333333333333333,0.0,0.3175859393440901
Candidate_06,0.34,3.0,0.01,0.25,0.2009672404781761,0.2381639049636356,5.0,0.0,0.302407435310919
Candidate_08,0.34,4.0,0.02,0.25,0.2240867918566236,0.253956135826395,8.166666666666666,0.0,0.3967063298607867
