candidate,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw,mean_train_score_vs_gr,mean_hold_score_vs_gr,std_hold_score_vs_gr,max_hold_score_vs_gr,mean_hold_rank,best_hold_rank_count,mean_hold_ramp_delta_vs_gr,mean_hold_cap_delta_vs_gr,mean_hold_throughput_delta_vs_gr,mean_hold_idod_delta_vs_gr,mean_hold_flip_delta_vs_gr
Candidate_01,0.32,3.0,0.01,0.25,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_02,0.32,4.0,0.01,0.25,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_03,0.32,5.0,0.01,0.25,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_05,0.32,4.0,0.01,0.5,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_06,0.34,3.0,0.01,0.25,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_07,0.34,4.0,0.01,0.25,0.00018252832329947248,0.00018252832329947248,0.00025813403032733497,0.00036505664659894496,1.0,2,0.0,0.0,0.0007297168525274966,1.32146890131131e-09,0.0
Candidate_04,0.32,4.0,0.02,0.25,0.00036506549679315374,0.00036506549679315374,0.0005162805767193496,0.0007301309935863075,4.0,1,0.0,0.0,0.0014594337050549966,2.7609403920608486e-09,0.0
Candidate_08,0.34,4.0,0.02,0.25,0.00036506549679315374,0.00036506549679315374,0.0005162805767193496,0.0007301309935863075,4.0,1,0.0,0.0,0.0014594337050549966,2.7609403920608486e-09,0.0
Candidate_09,0.34,4.0,0.02,0.5,0.00036506549679315374,0.00036506549679315374,0.0005162805767193496,0.0007301309935863075,4.0,1,0.0,0.0,0.0014594337050549966,2.7609403920608486e-09,0.0
Candidate_10,0.36,4.0,0.02,0.5,0.00036506549679315374,0.00036506549679315374,0.0005162805767193496,0.0007301309935863075,4.0,1,0.0,0.0,0.0014594337050549966,2.7609403920608486e-09,0.0
Candidate_11,0.36,5.0,0.04,0.5,0.00073016639436314,0.00073016639436314,0.0010326112176974143,0.00146033278872628,6.0,1,0.0,0.0,0.0029188674101099914,5.993891141894567e-09,0.0
Candidate_12,0.38,5.0,0.04,0.5,0.00073016639436314,0.00073016639436314,0.0010326112176974143,0.00146033278872628,6.0,1,0.0,0.0,0.0029188674101099914,5.993891141894567e-09,0.0
