candidate,train_score_vs_gr,hold_score_vs_gr,hold_rank,ramp95_kw_per_min_delta_vs_gr,cap_violation_pct_total_delta_vs_gr,throughput_kwh_delta_vs_gr,idod_delta_vs_gr,flip_per_day_delta_vs_gr,split_id,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw
Candidate_01,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.32,3.0,0.01,0.25
Candidate_02,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.32,4.0,0.01,0.25
Candidate_03,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.32,5.0,0.01,0.25
Candidate_05,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.32,4.0,0.01,0.5
Candidate_07,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.34,4.0,0.01,0.25
Candidate_06,0.00036505664659894496,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.34,3.0,0.01,0.25
Candidate_04,0.0007301309935863075,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.32,4.0,0.02,0.25
Candidate_08,0.0007301309935863075,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.34,4.0,0.02,0.25
Candidate_09,0.0007301309935863075,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.34,4.0,0.02,0.5
Candidate_10,0.0007301309935863075,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.36,4.0,0.02,0.5
Candidate_11,0.00146033278872628,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.36,5.0,0.04,0.5
Candidate_12,0.00146033278872628,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.38,5.0,0.04,0.5
Candidate_01,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.32,3.0,0.01,0.25
Candidate_02,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.32,4.0,0.01,0.25
Candidate_03,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.32,5.0,0.01,0.25
Candidate_04,0.0,0.0007301309935863075,7,0.0,0.0,0.002918867410109993,5.521880784121697e-09,0.0,2,0.32,4.0,0.02,0.25
Candidate_05,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.32,4.0,0.01,0.5
Candidate_06,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.34,3.0,0.01,0.25
Candidate_07,0.0,0.00036505664659894496,1,0.0,0.0,0.0014594337050549931,2.64293780262262e-09,0.0,2,0.34,4.0,0.01,0.25
Candidate_08,0.0,0.0007301309935863075,7,0.0,0.0,0.002918867410109993,5.521880784121697e-09,0.0,2,0.34,4.0,0.02,0.25
Candidate_09,0.0,0.0007301309935863075,7,0.0,0.0,0.002918867410109993,5.521880784121697e-09,0.0,2,0.34,4.0,0.02,0.5
Candidate_10,0.0,0.0007301309935863075,7,0.0,0.0,0.002918867410109993,5.521880784121697e-09,0.0,2,0.36,4.0,0.02,0.5
Candidate_11,0.0,0.00146033278872628,11,0.0,0.0,0.005837734820219983,1.1987782283789134e-08,0.0,2,0.36,5.0,0.04,0.5
Candidate_12,0.0,0.00146033278872628,11,0.0,0.0,0.005837734820219983,1.1987782283789134e-08,0.0,2,0.38,5.0,0.04,0.5
