weight_label,ramp95_kw_per_min,throughput_kwh,efc,lfp_cycle_loss_pct,t_high_soc_h,ceq_q95,t_high_c_h,idod,label
0.1|0.01|0.001,9.431948850069558,5.015740015685312,0.02507870007842656,0.00040730474261448866,0.0,0.011004657041823174,0.0,0.0026895774270449986,0.1|0.01|0.001
1|0.01|0.001,9.438532853571724,4.932617168465768,0.02466308584232884,0.00040009688183656304,0.0,0.01062890165876118,0.0,0.0026173466109712883,1|0.01|0.001
