controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,resilience_score,soc_band_residency,throughput_kwh,efc,lfp_cycle_loss_pct,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
Proposed,cloud_edge,0,cloud_edge_seed0,0,9.085729598260176,0.0,0.0,0.0,100.0,1.0,1.0375289888674386,0.0051876449443371934,0.0001365405077312867,0.0,0.0,0.0,0.0,0.009780389129892403,6.379859141711029e-05,9.0,1.5,36.0,0.14287569514029505,0.7977000204846263,"{'[0.0,0.1)': 9.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,1,cloud_edge_seed1,0,9.564911330885439,0.0,0.0,0.0,100.0,1.0,0.35406688883528536,0.001770334444176427,3.779593397271274e-05,0.0,0.0,0.0,0.0,0.0027304267219309952,6.2222439067114926e-06,4.0,0.6666666666666666,16.0,0.14459361090201936,0.741700001526624,"{'[0.0,0.1)': 4.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,2,cloud_edge_seed2,0,9.67644330357038,0.0,0.0,0.0,100.0,1.0,9.133685042624014,0.04566842521312007,0.0010081860558212594,0.0,0.0,0.024028533345148446,0.0,0.06686928956145666,0.004600474600241398,15.0,2.5833333333333335,62.0,0.13713291627936997,0.5516000092029572,"{'[0.0,0.1)': 15.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,3,cloud_edge_seed3,0,8.80973921497303,0.0,0.0,0.0,100.0,1.0,11.903147554141169,0.059515737770705845,0.0013241683370154521,0.0,0.0,0.03690342602708193,0.0,0.08441855762237924,0.0029724578848183956,21.0,3.6666666666666665,88.0,0.14572354302799795,14.370999997481704,"{'[0.0,0.1)': 22.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,4,cloud_edge_seed4,0,9.191746604595057,0.0,0.0,0.0,100.0,1.0,1.7790011005951902,0.008895005502975952,0.00021714355974585892,0.0,0.0,0.0,0.0,0.015394514034396178,0.00017042276257724459,6.0,1.0,24.0,0.13346513854533745,0.3507999936118722,"{'[0.0,0.1)': 6.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,0,load_step_seed0,0,8.864685523530046,0.0,0.0,0.0,100.0,1.0,15.85286834911726,0.0792643417455863,0.0017517710950519046,0.0,0.0,0.05557289323157968,0.0,0.10698183319061075,0.007477158614747633,24.5,4.208333333333333,101.0,0.1327654869075761,0.4683000151999295,"{'[0.0,0.1)': 25.0, '[0.1,0.2)': 0.5, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,1,load_step_seed1,0,9.318418968303074,0.0,0.0,0.0,100.0,1.0,16.291961935194156,0.08145980967597077,0.0016624215333383965,0.0,0.0,0.05486756890494868,0.0,0.10294619126127,0.0050793177342783845,28.0,4.708333333333333,113.0,0.13509979168399391,0.6469000363722444,"{'[0.0,0.1)': 29.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,2,load_step_seed2,0,9.33457254332668,0.0,0.0,0.0,100.0,1.0,14.993811075682908,0.07496905537841454,0.0017858859420842954,0.0,0.0,0.05058327658210225,0.0,0.1114983632289119,0.0054080345161873055,21.0,3.7916666666666665,91.0,0.13501388902012776,0.6111999973654747,"{'[0.0,0.1)': 22.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,3,load_step_seed3,0,9.194362786005591,0.0,0.0,0.0,100.0,1.0,5.875743638877409,0.029378718194387043,0.0006371879886135209,0.0,0.0,0.0,0.0,0.043146137206695384,0.0019039188662596234,11.5,2.0,48.0,0.1342578469322891,0.6065000197850168,"{'[0.0,0.1)': 12.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,4,load_step_seed4,0,8.919703897970805,0.0,0.0,0.0,100.0,1.0,4.536504501789038,0.022682522508945188,0.0005616597303428626,0.0,0.0,0.006766010927068406,0.0,0.038572716977722354,0.0012200257759945445,10.0,1.75,42.0,0.13699840298310542,0.4873000434599817,"{'[0.0,0.1)': 10.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
