rmax,tmin,ramp95_kw_per_min,throughput_kwh,lfp_cycle_loss_pct,idod
10.0,0,9.352319115107413,5.669078138092468,0.0006024902984643752,0.0018847140229485727
10.0,1,9.352319115107413,5.669078138092468,0.0006024902984643752,0.0018847140229485727
10.0,2,9.353449723433425,5.809728189195273,0.0006784433941360233,0.00249452125116403
10.0,3,9.353449723433425,5.864798390459958,0.000641774206381374,0.0018717655818084814
10.0,5,9.352936731768171,5.939053837678663,0.0006478794766706338,0.001872317845754525
15.0,0,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
15.0,1,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
15.0,2,9.352936731768171,5.822455386091103,0.0006804341474752663,0.002504196566739044
15.0,3,9.352936731768171,5.876055495438964,0.000643623317142713,0.001881695216921849
15.0,5,9.352936731768171,5.947676981721826,0.0006475772938154633,0.002023254339426902
20.0,0,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
20.0,1,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
20.0,2,9.352936731768171,5.822455386091103,0.0006804341474752663,0.002504196566739044
20.0,3,9.352936731768171,5.876055495438964,0.000643623317142713,0.001881695216921849
20.0,5,9.352936731768171,5.947676981721826,0.0006475772938154633,0.002023254339426902
25.0,0,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
25.0,1,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
25.0,2,9.352936731768171,5.822455386091103,0.0006804341474752663,0.002504196566739044
25.0,3,9.352936731768171,5.876055495438964,0.000643623317142713,0.001881695216921849
25.0,5,9.352936731768171,5.947676981721826,0.0006475772938154633,0.002023254339426902
30.0,0,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
30.0,1,9.352319115107413,5.679092174192935,0.0006039102338504384,0.001893480989649186
30.0,2,9.352936731768171,5.822455386091103,0.0006804341474752663,0.002504196566739044
30.0,3,9.352936731768171,5.876055495438964,0.000643623317142713,0.001881695216921849
30.0,5,9.352936731768171,5.947676981721826,0.0006475772938154633,0.002023254339426902
