case,description,profiles,drop_prob,delay_ticks,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,max_cpu_ms,ramp95_kw_per_min,cap_violation_pct_total,throughput_kwh,lfp_cycle_loss_pct,flip_per_day
delay_1tick,One-tick delayed measurement stream,8,0.0,1,0.12926364601450283,0.12050001532770693,0.17439999064663425,1.0154999908991158,9.782847666851659,2.4913194444444446,4.731062186988869,0.0004953038001694334,41.0
delay_2tick,Two-tick delayed measurement stream,8,0.0,2,0.1275120312559213,0.12080001761205494,0.16210498288273803,0.41179999243468046,9.61424880417462,2.595486111111111,4.731062186988869,0.0004953038001694334,41.0
drop_2pct_zoh,"2% missing samples, hold-last-sample",8,0.02,0,0.12885668396241576,0.12080001761205494,0.17190999933518455,0.9944999765139073,9.323774574273036,0.06944444444444445,4.704759153524726,0.0005171128758042637,40.625
drop_5pct_zoh,"5% missing samples, hold-last-sample",8,0.05,0,0.1286552865167323,0.12050001532770693,0.17080499092116944,0.968700012890622,9.345146357792947,0.1736111111111111,4.647461086878625,0.0005075926266955139,38.625
nominal,Native input stream,8,0.0,0,0.13010314231046827,0.12080001761205494,0.18042000592686208,1.0207000013906509,9.323152269934997,0.0,4.731062186988869,0.0004953038001694334,41.0
