controller,profiles,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,max_cpu_ms,ramp95_kw_per_min,cap_violation_pct_total,throughput_kwh,lfp_cycle_loss_pct,flip_per_day
A1_no_forecast,8,0.0869666492361729,0.079699995694682,0.12522499455371836,0.9360999974887818,9.317549684518905,0.0,4.364904040242426,0.00047828502819873567,38.25
GR,8,0.009783854026560826,0.009100011084228754,0.011205025657545702,0.23380000493489206,9.317549684518905,0.0,4.321279401968584,0.0004820402572361851,39.25
Proposed,8,0.1295582379296118,0.12070001685060561,0.1761250008712519,1.6339000139851123,9.323152269934997,0.0,4.731062186988869,0.0004953038001694334,41.0
RS,8,0.022521658231906057,0.02060001133941114,0.03409999771974981,0.2350000140722841,3.109462622241708,3.0208333333333335,76.7859832435405,0.005325460468749221,540.5
