controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
RS,mixed,1,mixed_seed1,0,2.877034127932322,0.0,0.0,0.0,1.0,18.61360024441178,0.09306800122205891,0.0,0.0,0.07450748124678155,0.0,0.07495990770827965,0.0002640273825203316,68.5,23.0,552.0,0.08152277441695333,4.009299911558628,"{'[0.0,0.1)': 68.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,0,cloud_edge_seed0,0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.021269166285896465,0.8349999552592635,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,1,cloud_edge_seed1,0,2.405371359006352,0.0,0.0,0.0,1.0,17.106922336831893,0.08553461168415946,0.0,0.0,0.07216114077019056,0.0,0.06743519231009756,0.00027234406824740425,66.5,22.333333333333332,536.0,0.022047500695205398,0.27219997718930244,"{'[0.0,0.1)': 66.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,0,mixed_seed0,0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.027362496863740187,1.7782000359147787,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,1,mixed_seed1,0,2.405371359006352,0.0,0.0,0.0,1.0,17.106922336831893,0.08553461168415946,0.0,0.0,0.07216114077019056,0.0,0.06743519231009756,0.00027234406824740425,66.5,22.333333333333332,536.0,0.021393610384418733,0.9521000320091844,"{'[0.0,0.1)': 66.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
MPC_best_ramp,cloud_edge,0,cloud_edge_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,881.7886822187575,3065.6674000201747,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.01138264399194123,5.691321995970615e-05,0.0,0.0,1.8906310275735746e-05,0.0,5.950321421957505e-05,5.942582990965635e-09,9.5,3.1666666666666665,76.0,1029.5216988911206,3625.8940999396145,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,mixed,0,mixed_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,980.5576288865673,3552.4236999917775,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_ramp,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.01138264399194123,5.691321995970615e-05,0.0,0.0,1.8906310275735746e-05,0.0,5.950321421957505e-05,5.942582990965635e-09,9.5,3.1666666666666665,76.0,888.1048975024088,2476.01559991017,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,cloud_edge,0,cloud_edge_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,881.7886822187575,3065.6674000201747,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.01138264399194123,5.691321995970615e-05,0.0,0.0,1.8906310275735746e-05,0.0,5.950321421957505e-05,5.942582990965635e-09,9.5,3.1666666666666665,76.0,1029.5216988911206,3625.8940999396145,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,0,mixed_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,980.5576288865673,3552.4236999917775,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.01138264399194123,5.691321995970615e-05,0.0,0.0,1.8906310275735746e-05,0.0,5.950321421957505e-05,5.942582990965635e-09,9.5,3.1666666666666665,76.0,888.1048975024088,2476.01559991017,"{'[0.0,0.1)': 9.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
