timestamp,base_kw,cmd_kw,grid_kw,soc,soc_next,mode,rg_state,desired_kw,p_imp_cap,p_exp_cap,e_imp,e_exp,e1_imp,e1_exp,cpu_ms,scenario,seed,scenario_seed,day_id,load_kw,pv_kw,wind_kw,peak_flag,controller,reference_type,weight_label
2026-01-01 01:13:00,17.67957985772852,3.833368788625499e-06,17.67957602435973,0.4999784996395633,0.4999784989670425,PS,MID,3.833368788625499e-06,40.0,40.0,,,,,1730.6430999888107,mixed,0,mixed_seed0,0,32.85629574054098,0.8524799057340382,14.324235977078423,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:14:00,28.866739779511093,-4.070937286670324e-06,28.86674385044838,0.4999784989670425,0.49997849961160756,VF,MID,-4.070937286670324e-06,40.0,40.0,,,,,1961.8977999780327,mixed,0,mixed_seed0,0,38.954792929885215,0.0,10.088053150374124,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:15:00,19.66738661781715,-1.7644641170690272e-06,19.667388382281267,0.49997849961160756,0.49997849989098103,VF,MID,-1.7644641170690272e-06,40.0,40.0,,,,,2300.988300004974,mixed,0,mixed_seed0,0,31.09756588225729,0.0,11.43017926444014,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:16:00,20.256062107538675,-8.68168209675694e-07,20.256062975706886,0.49997849989098103,0.499978500028441,VF,MID,-8.68168209675694e-07,40.0,40.0,,,,,1109.8061999073252,mixed,0,mixed_seed0,0,32.74388008285863,0.0,12.487817975319954,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:17:00,25.438769220609554,-5.685856970716481e-07,25.438769789195252,0.499978500028441,0.49997850011846706,VF,MID,-5.685856970716481e-07,40.0,40.0,,,,,1181.8357000593096,mixed,0,mixed_seed0,0,36.734560404653735,0.0,11.29579118404418,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:18:00,22.237831858799325,-5.56452974142351e-07,22.2378324152523,0.49997850011846706,0.49997850020657214,VF,MID,-5.56452974142351e-07,40.0,40.0,,,,,43.81039994768798,mixed,0,mixed_seed0,0,34.51898614983525,0.0,12.281154291035927,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:19:00,29.181465684481388,-5.446744568254991e-07,29.181466229155845,0.49997850020657214,0.49997850029281227,VF,MID,-5.446744568254991e-07,40.0,40.0,,,,,57.092800037935376,mixed,0,mixed_seed0,0,39.40192455086688,0.0,10.220458866385494,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:20:00,21.355500705192384,-5.332398068217288e-07,21.35550123843219,0.49997850029281227,0.4999785003772419,VF,MID,-5.332398068217288e-07,40.0,40.0,,,,,39.3426000373438,mixed,0,mixed_seed0,0,34.86701425132635,0.4247733140804534,13.086740232053515,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:21:00,19.173374123240094,-5.221389875321829e-07,19.17337464537908,0.4999785003772419,0.4999785004599139,VF,MID,-5.221389875321829e-07,40.0,40.0,,,,,48.9494000794366,mixed,0,mixed_seed0,0,32.812684325483225,0.6122735314029945,13.027036670840136,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:22:00,18.312184115982852,-5.113622552573428e-07,18.312184627345108,0.4999785004599139,0.49997850054087956,VF,MID,-5.113622552573428e-07,40.0,40.0,,,,,63.04239993914962,mixed,0,mixed_seed0,0,33.451894566833616,0.0,15.139710450850764,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:23:00,17.11851076831823,-5.009001506524809e-07,17.11851126921838,0.49997850054087956,0.4999785006201887,VF,MID,-5.009001506524809e-07,40.0,40.0,,,,,56.512000039219856,mixed,0,mixed_seed0,0,31.66825270284984,0.1435367830430347,14.406205151488578,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:24:00,15.85099905141853,-4.959253153106274e-07,15.850999547343845,0.4999785006201887,0.49997850069871025,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,32.66609995625913,mixed,0,mixed_seed0,0,31.202413520534336,0.47292434474945166,14.878490124366355,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:25:00,23.749134440680283,-4.959253153106274e-07,23.7491349366056,0.49997850069871025,0.49997850077723177,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,16.262499964796007,mixed,0,mixed_seed0,0,35.97332025483175,0.0,12.224185814151465,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:26:00,23.397757882040345,-4.959253153106274e-07,23.397758377965662,0.49997850077723177,0.4999785008557533,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,15.527899959124625,mixed,0,mixed_seed0,0,35.851065675945684,0.0,12.453307793905338,0,MPC_best_balanced,MPC,0.01|0.01|0.001
2026-01-01 01:27:00,25.202310171897807,-4.959253153106274e-07,25.202310667823124,0.4999785008557533,0.4999785009342748,VF,MID,-4.959253153106274e-07,40.0,40.0,,,,,16.510399989783764,mixed,0,mixed_seed0,0,37.63559020449714,0.0,12.433280032599336,0,MPC_best_balanced,MPC,0.01|0.01|0.001
