Controller,Throughput,EFC,LFP_CycleLossPct,T_high_SOC,Q95_Ceq,T_high_C,IDOD
FBRL,17.47 (0.42),0.09 (0.00),0.0010 (0.0000),0.00 (0.00),0.07 (0.00),0.00 (0.00),0.0003 (0.0000)
GR,0.01 (0.01),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
MPC_best_balanced,0.02 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
MPC_best_ramp,0.02 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
NC,0.00 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
Proposed,0.01 (0.01),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
RS,18.70 (0.10),0.09 (0.00),0.0010 (0.0000),0.00 (0.00),0.08 (0.00),0.00 (0.00),0.0003 (0.0000)
