Controller,Ramp95,CapViolPct,Throughput,EFC,LFP_CycleLossPct,HighSOCDwell,HighCExposure,IDOD
FBRL,2.41 (0.01),0.00 (0.00),17.47 (0.42),0.09 (0.00),0.0010 (0.0000),0.00 (0.00),0.00 (0.00),0.0003 (0.0000)
GR,9.60 (0.17),0.00 (0.00),0.01 (0.01),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
MPC_best_balanced,9.63 (0.13),0.14 (0.16),0.02 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
MPC_best_ramp,9.63 (0.13),0.14 (0.16),0.02 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
NC,9.64 (0.13),0.14 (0.16),0.00 (0.00),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
Proposed,9.60 (0.17),0.00 (0.00),0.01 (0.01),0.00 (0.00),0.0000 (0.0000),0.00 (0.00),0.00 (0.00),0.0000 (0.0000)
RS,2.92 (0.05),0.00 (0.00),18.70 (0.10),0.09 (0.00),0.0010 (0.0000),0.00 (0.00),0.00 (0.00),0.0003 (0.0000)
