controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist
A0,cloud_edge,0,cloud_edge_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.01707339425699625,8.536697128498125e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.20076472137589008,1.5261000953614712,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A0,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3249133345282947,4.7960999654605985,{}
A0,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.01707339425699625,8.536697128498125e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.22112833361865747,11.200199951417744,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A0,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39884666524206597,78.0189000070095,{}
A1,cloud_edge,0,cloud_edge_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.1638594439201471,3.0351000605151057,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A1,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14294111266887435,3.05499997921288,{}
A1,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.1796402855284719,2.5107000255957246,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A1,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19931777593834946,7.153599988669157,{}
A2,cloud_edge,0,cloud_edge_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.15863110699380437,0.8875000057742,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}"
A2,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42223582988501424,5.905300029553473,{}
