controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
Proposed,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.027289430192381222,0.0001364471509619061,0.0,0.0,0.0,0.0,0.00014362857995989242,4.125833796259042e-08,0.5,0.3333333333333333,8.0,0.09318833181168884,0.29889994766563177,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
NC,mixed,0,mixed_seed0,0,9.526821355558479,0.2777777777777778,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018780543339542216,0.009500072337687016,{},,
GR,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.008902500525841283,0.07120007649064064,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,0,mixed_seed0,0,2.9682847135325834,0.0,0.0,0.0,1.0,18.793187335809808,0.09396593667904904,0.0,0.0,0.08276618042621521,0.0,0.07460848543189313,0.0002834100512552007,68.0,22.666666666666668,544.0,0.027583051511707406,0.07030006963759661,"{'[0.0,0.1)': 68.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,mixed,0,mixed_seed0,0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.020783052443423204,0.0735999783501029,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
MPC_best_ramp,mixed,0,mixed_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,487.60026833139517,1868.1974000064656,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
MPC_best_balanced,mixed,0,mixed_seed0,0,9.518953728868407,0.2777777777777778,0.0,0.2777777777777778,1.0,0.01917973211352148,9.589866056760739e-05,0.0,0.0,0.0001824202499406083,0.0,9.709238839997192e-05,1.88216138243699e-08,7.5,2.5,60.0,487.60026833139517,1868.1974000064656,"{'[0.0,0.1)': 7.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",MPC,0.01|0.01|0.001
