Controller,Ramp95,CapViolPct,Throughput,EFC,HighSOCDwell,HighCExposure,IDOD
FBRL,2.41 (0.00),0.00 (0.00),17.84 (0.00),0.09 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
GR,9.46 (0.00),0.00 (0.00),0.02 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
MPC_best_balanced,9.52 (0.00),0.28 (0.00),0.02 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
MPC_best_ramp,9.52 (0.00),0.28 (0.00),0.02 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
NC,9.53 (0.00),0.28 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
Proposed,9.46 (0.00),0.00 (0.00),0.03 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
RS,2.97 (0.00),0.00 (0.00),18.79 (0.00),0.09 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00)
