candidate,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw,mean_train_score_vs_gr,mean_hold_score_vs_gr,std_hold_score_vs_gr,max_hold_score_vs_gr,mean_hold_rank,best_hold_rank_count,mean_hold_ramp_delta_vs_gr,mean_hold_cap_delta_vs_gr,mean_hold_throughput_delta_vs_gr,mean_hold_lfp_cycle_loss_delta_vs_gr,mean_hold_idod_delta_vs_gr,mean_hold_flip_delta_vs_gr
Candidate_01,0.32,3.0,0.01,0.25,-0.0180283939779391,-0.02248715318417712,0.15447991641098704,0.18927889552794772,1.0,5,0.000741982372589689,0.0,0.3821072448348174,4.309181106052272e-05,-0.00011674595687294867,-2.2
Candidate_02,0.32,4.0,0.01,0.25,-0.014989740296736956,-0.019661526375989342,0.15568615873526903,0.19322070587345883,2.0,0,0.0024626042663051352,0.0,0.3959250137226412,4.515500083321509e-05,-0.00011473845430606373,-2.25
Candidate_03,0.32,5.0,0.01,0.25,-0.011503690049008258,-0.016697559830013115,0.15821948045987244,0.199021730155995,3.0,0,0.0024626042663051352,0.0,0.4082185920990259,4.488275161577198e-05,-0.00011619749494766297,-2.25
Candidate_05,0.32,4.0,0.01,0.5,0.003620958502218072,-0.0040091180744730006,0.1546045974577984,0.20493747545901095,4.0,0,0.0024626042663051352,0.0,0.39124812063235515,3.622579059664524e-05,-0.0001793389222071151,-1.8166666666666658
Candidate_04,0.32,4.0,0.02,0.25,0.04709806073244183,0.043883378309051244,0.1462303552732,0.24950963920131736,5.0,0,0.00041552916898872637,0.0,0.526863754937887,7.84629242539183e-05,0.00015669213874121036,-2.0
Candidate_07,0.34,4.0,0.01,0.25,0.15190681823321667,0.18518766355505573,0.20671649215440127,0.43126012240322453,6.2,0,0.01864844352939201,0.0,0.5332877815746146,4.134983643851436e-05,-0.00015710300490653217,0.9
Candidate_06,0.34,3.0,0.01,0.25,0.17801475913161302,0.21424129561790287,0.2285399683382699,0.4964235262520056,6.8,0,0.017754426055961402,0.0,0.5111332528692651,4.695467331183971e-05,-0.00015061924873833148,1.6
Candidate_08,0.34,4.0,0.02,0.25,0.2152594050503196,0.25845302067164955,0.23934858676839782,0.5393459184307554,8.0,0,0.015576700902643025,0.0,0.6849479974297683,6.927259083308228e-05,-6.703128340136261e-05,1.5333333333333328
Candidate_09,0.34,4.0,0.02,0.5,0.2411522222178669,0.28499473498381533,0.22762775562874915,0.5516468329624743,9.0,0,0.015750663589470904,0.0,0.6795962002688143,6.96074766162149e-05,-8.733048971454675e-06,2.0
Candidate_10,0.36,4.0,0.02,0.5,0.46243329185598797,0.5338754716528246,0.3105916253512648,0.9011582854673399,10.0,0,0.03910716447867309,0.00925925925925926,0.9264908046414864,8.811431966632885e-05,-3.830550006318173e-05,4.95
Candidate_11,0.36,5.0,0.04,0.5,0.5934896485497856,0.6852503099915345,0.3108795911551517,1.0220949436924882,11.0,0,0.050083299148329985,0.012731481481481483,1.2777157130208514,0.00011354976980371687,0.00013700159500038125,5.6
Candidate_12,0.38,5.0,0.04,0.5,0.7817963389798137,0.909021911504525,0.3255299666011398,1.1680350224713032,12.0,0,0.058119548508931376,0.00925925925925926,1.6506044464073923,8.866506481441808e-05,-5.911911721919339e-05,8.483333333333333
