Reference,Baseline,Pairs,ramp95_kw_per_min_delta_mean,ramp95_kw_per_min_wins,ramp95_kw_per_min_ties,ramp95_kw_per_min_losses,cap_violation_pct_total_delta_mean,cap_violation_pct_total_wins,cap_violation_pct_total_ties,cap_violation_pct_total_losses,throughput_kwh_delta_mean,throughput_kwh_wins,throughput_kwh_ties,throughput_kwh_losses,idod_delta_mean,idod_wins,idod_ties,idod_losses,flip_per_day_delta_mean,flip_per_day_wins,flip_per_day_ties,flip_per_day_losses,all4_nonworse_count
Proposed,NC,1,-0.07050969739122692,1,0,0,-0.2777777777777778,1,0,0,0.01853282796205125,0,0,1,1.9028571316950905e-08,0,0,1,8.0,0,0,1,0
Proposed,GR,1,0.0,0,1,0,0.0,0,1,0,0.002918867410109993,0,0,1,5.521880784121697e-09,0,0,1,0.0,0,1,0,0
Proposed,RS,1,6.488026944634669,0,0,1,0.0,0,1,0,-18.774654507847757,1,0,0,-0.00028339102268388377,1,0,0,-536.0,1,0,0,0
Proposed,FBRL,1,7.0421170130252415,0,0,1,0.0,0,1,0,-17.823227471684138,1,0,0,-0.00030017565791947136,1,0,0,-528.0,1,0,0,0
Proposed,MPC_best_ramp,1,-0.06264207070115546,1,0,0,-0.2777777777777778,1,0,0,-0.000646904151470229,1,0,0,2.06957492581005e-10,0,0,1,-52.0,1,0,0,0
Proposed,MPC_best_balanced,1,-0.06264207070115546,1,0,0,-0.2777777777777778,1,0,0,-0.000646904151470229,1,0,0,2.06957492581005e-10,0,0,1,-52.0,1,0,0,0
